BUKRS,BLDAT,MATNR,MENGE,MEINS,WERKS,SGTXT,WRBTR,WAERS
1000,15.03.2024,FUEL001,500,L,P001,Diesel Purchase,1200.50,INR
1000,16.03.2024,FUEL002,300,KG,P001,Lubricant Oil,450.00,INR
1000,17.03.2024,FUEL001,1500,L,P002,Diesel for Generator,3600.00,INR
2000,18.03.2024,GAS001,200,M3,P003,Natural Gas,800.00,INR
1000,19.03.2024,FUEL001,5000,L,P001,Bulk Fuel Purchase,12000.00,INR
1000,20.03.2024,FUEL001,400,,P001,Missing unit fuel,900.00,INR
1000,21.03.2024,FUEL002,100,KG,P001,Lubricant Oil,150.00,INR
2000,22.03.2024,FUEL001,800,L,P003,Diesel Purchase,1900.00,INR
1000,23.03.2024,FUEL001,-50,L,P001,Refund/Return, -120.00,INR
1000,24.03.2024,FUEL001,1200,L,P001,Diesel Purchase,2880.00,INR
2000,25.03.2024,GAS001,150,M3,P003,Natural Gas,600.00,INR
1000,26.03.2024,FUEL002,200,KG,P002,Lubricant Oil,300.00,INR
1000,27.03.2024,FUEL001,600,L,P002,Diesel Purchase,1440.00,INR
1000,28.03.2024,FUEL001,300,L,P001,Diesel Purchase,720.00,INR
2000,29.03.2024,FUEL001,1000,L,P003,Diesel Purchase,2400.00,INR
1000,30.03.2024,FUEL001,450,L,P001,Diesel Purchase,1080.00,INR
1000,31.03.2024,FUEL001,500,L,P001,Diesel Purchase,1200.00,INR
1000,01.04.2024,FUEL001,5000,L,P001,High CO2 Row,15000.00,INR
1000,InvalidData,FUEL001,500,L,P001,Invalid Date Row,1200.00,INR
1000,02.04.2024,FUEL001,500,UNKNOWN,P001,Unknown Unit Row,1200.00,INR
