report_id,employee_id,transaction_date,expense_type,vendor,amount,currency,origin_city,dest_city,distance_km,nights,notes
R001,EMP101,2024-03-10,AIR,IndiGo,5000.00,INR,BLR,DEL,1740,,Business Trip
R001,EMP101,2024-03-10,HOTEL,Taj Palace,15000.00,INR,,,3,Stay in Delhi
R001,EMP101,2024-03-13,AIR,IndiGo,5200.00,INR,DEL,BLR,,,Return Flight
R002,EMP105,2024-03-15,TAXI,Uber,450.00,INR,,,15,,Office Commute
R003,EMP202,2024-03-20,AIR,Emirates,850.00,USD,DXB,SIN,5850,,International Conf
R003,EMP202,2024-03-20,HOTEL,Marriott,1200.00,USD,,,4,Singapore Stay
R004,EMP101,2024-04-01,AIR,Air India,4000.00,INR,BOM,DEL,1150,,Client Meeting
R004,EMP101,2024-04-03,AIR,Air India,4200.00,INR,DEL,BOM,,,Missing Dist
R005,EMP303,2024-04-10,TAXI,Ola,300.00,INR,,,10,,
R006,EMP101,2024-04-15,HOTEL,Hilton,8000.00,INR,,,2,
R007,EMP404,2024-04-20,AIR,IndiGo,3500.00,INR,BLR,HYD,,,City Lookup
R008,EMP505,2024-04-25,BUS,KSRTC,800.00,INR,,,500,,
R009,EMP101,2024-05-01,AIR,Vistara,6000.00,INR,,DEL,,,Missing Origin
R010,EMP101,2024-05-05,HOTEL,Hyatt,20000.00,INR,,,,Missing Nights
R011,EMP202,2024-05-10,TAXI,Grab,20.00,SGD,,,8,,
R012,EMP101,2024-05-15,AIR,IndiGo,4500.00,INR,HYD,DEL,1250,,
R013,EMP101,2024-05-18,AIR,IndiGo,4500.00,INR,DEL,HYD,1250,,
R014,EMP101,2024-05-20,HOTEL,Novotel,10000.00,INR,,,2,,
R015,EMP101,2024-05-22,TAXI,Uber,600.00,INR,,,20,,
R016,EMP101,2024-05-25,AIR,IndiGo,5000.00,INR,BLR,BOM,840,,
R017,EMP101,2024-05-27,AIR,IndiGo,5000.00,INR,BOM,BLR,840,,
R018,EMP101,2024-05-29,HOTEL,Westin,15000.00,INR,,,3,,
R019,EMP101,2024-05-31,TAXI,Uber,500.00,INR,,,18,,
R020,EMP101,2024-06-01,AIR,IndiGo,20000.00,INR,BLR,DEL,1740,,High Value
R021,EMP101,2024-06-05,AIR,IndiGo,50000.00,INR,BLR,DEL,50000,,High CO2
